region,crop_type,year,area_cultivated_ha,production_kg,yield_kg_ha,NDVI_mean,NDVI_peak,temperature_mean,rainfall
Tigray,Teff,2015,184848.49,263601790.0,1426.0,0.5944441396564487,0.999987546344286,20.53333333333333,1281.6
Tigray,Barely,2015,99052.22,169542113.0,1712.0,0.5944441396564487,0.999987546344286,20.53333333333333,1281.6
Tigray,Wheat,2015,108865.39,203459405.0,1869.0,0.5944441396564487,0.999987546344286,20.53333333333333,1281.6
Tigray,Maize,2015,64197.01,159149435.0,2479.0,0.7101110154607001,0.999987546344286,20.85652173913044,1411.4
Tigray,Sorghum,2015,224367.43,610662690.0,2722.0,0.5944441396564487,0.999987546344286,20.871495327102803,1424.8
Tigray,Millet,2015,83131.78,187564271.0,2256.0,0.5944441396564487,0.999987546344286,20.53333333333333,1281.6
Tigray,Teff,2016,162782.72,189825933.0,1166.0,0.4647484489975833,0.5339098940070204,19.763387978142077,1542.9999999999998
Tigray,Barely,2016,99423.28,157174532.0,1581.0,0.4647484489975833,0.5339098940070204,19.763387978142077,1542.9999999999998
Tigray,Wheat,2016,102847.97,176096635.0,1712.0,0.4647484489975833,0.5339098940070204,19.763387978142077,1542.9999999999998
Tigray,Maize,2016,62640.0,137908952.0,2202.0,0.5166445023739303,0.5339098940070204,20.06032608695652,1702.0
Tigray,Sorghum,2016,239371.58,624644832.0,2610.0,0.4647484489975833,0.5339098940070204,20.098130841121492,1702.1999999999998
Tigray,Millet,2016,84280.34,150614872.0,1787.0,0.4647484489975833,0.5339098940070204,19.763387978142077,1542.9999999999998
Tigray,Teff,2017,167584.33,241011677.0,1438.0,0.3943210195160713,0.5508521282777151,19.95846994535519,509.9
Tigray,Barely,2017,95462.96,169572540.0,1776.0,0.3943210195160713,0.5508521282777151,19.95846994535519,509.9
Tigray,Wheat,2017,107724.17,212867257.0,1976.0,0.3943210195160713,0.5508521282777151,19.95846994535519,509.9
Tigray,Maize,2017,66451.95,169801363.0,2555.0,0.3932497170464388,0.5508521282777151,20.101630434782606,616.8999999999999
Tigray,Sorghum,2017,253757.11,712005432.0,2806.0,0.3802317255842484,0.5508521282777151,20.195327102803738,617.2
Tigray,Millet,2017,86613.23,196044168.0,2263.0,0.3943210195160713,0.5508521282777151,19.95846994535519,509.9
Tigray,Teff,2018,167748.72,257906058.0,1537.0,0.3407458878316096,0.5050086657966301,19.30163934426229,744.3
Tigray,Barely,2018,94725.02,169417980.0,1789.0,0.3407458878316096,0.5050086657966301,19.30163934426229,744.3
Tigray,Wheat,2018,107929.86,214003144.0,1983.0,0.3407458878316096,0.5050086657966301,19.30163934426229,744.3
Tigray,Maize,2018,62161.78,159056125.0,2559.0,0.2905843009102802,0.5050086657966301,20.04565217391304,754.8
Tigray,Sorghum,2018,254655.92,726271779.0,2852.0,0.3035451168928811,0.5050086657966301,20.000934579439257,763.2
Tigray,Millet,2018,82021.79,185826511.0,2266.0,0.3407458878316096,0.5050086657966301,19.30163934426229,744.3
Tigray,Teff,2019,176545.98,283833741.0,1608.0,0.3443632547626015,0.588376858967213,18.99398907103825,834.2
Tigray,Barely,2019,91579.93,168685384.0,1842.0,0.3443632547626015,0.588376858967213,18.99398907103825,834.2
Tigray,Wheat,2019,119580.03,251411295.0,2102.0,0.3443632547626015,0.588376858967213,18.99398907103825,834.2
Tigray,Maize,2019,67675.62,173597203.0,2565.0,0.3132595617461569,0.588376858967213,19.692391304347822,849.8
