model,cv_accuracy,cv_macro_f1,test_accuracy,test_macro_f1,test_macro_precision,test_macro_recall
Extra Trees,0.8243871643261886,0.5507377017008865,0.7027027027027027,0.5019607843137255,0.5326278659611993,0.4898550724637681
XGBoost,0.8296378418329637,0.47031770451316557,0.7027027027027027,0.5074029611844738,0.5421245421245421,0.4898550724637681
Random Forest,0.7917744518354275,0.4635301248204474,0.7567567567567568,0.532051282051282,0.5862068965517241,0.5188405797101449
Gradient Boosting,0.7987188962798719,0.40340265818344173,0.7027027027027027,0.48284313725490197,0.5277777777777778,0.4710144927536232
