model,cv_accuracy,cv_macro_f1,test_accuracy,test_macro_f1,test_macro_precision,test_macro_recall
Random Forest,0.8832686622320769,0.4899256815732788,0.8918918918918919,0.6011904761904762,0.632183908045977,0.5802469135802469
XGBoost,0.8832686622320769,0.47877967689867096,0.8648648648648649,0.54317998385795,0.6145833333333334,0.5185185185185185
Extra Trees,0.8771711012564671,0.4510687782136953,0.8918918918918919,0.5770114942528736,0.6236559139784946,0.5555555555555555
Gradient Boosting,0.871920423749692,0.44850622482746494,0.8648648648648649,0.54317998385795,0.6145833333333334,0.5185185185185185
